ExperimentNumber,WorkloadNumber,RequestId,                   J,UserClass,              Policy,CloudDeploymentModel,CloudletId,            TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,              VmType
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        12,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          38,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        15,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          39,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        16,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          40,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        17,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          41,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        18,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          42,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        19,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          43,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        20,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          44,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        21,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          45,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        22,                 Map,         10000,             Success,     200000.10,    200000.10,       108.00, 200108.10,          46,     openstack-micro
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        13,              Reduce,          5000,             Success,     200108.20,    200108.20,        10.00, 200118.20,          16, small-aws-us-east-1
               1,             1,        5,             J={9-2},     GOLD,          BBDecision,              Hybrid,        14,              Reduce,          1000,             Success,     200108.20,    200108.20,        10.00, 200118.20,          38,     openstack-micro
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        23,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          64, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        26,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          65, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        27,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          66, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        28,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          67, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        29,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          68, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        30,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          69, small-aws-us-east-1
               1,             2,       15,             J={9-2},     GOLD,             LFFCost,              Hybrid,        31,                 Map,         10000,             Success,     200000.10,    200000.10,        25.69, 200025.79,          70, small-aws-us-east-1
